iso,pressure,free_gb,swap_gb,compressed_gb
2026-09-19T20:43:48.102Z,1,19.8,6.0,4.1
2026-09-19T20:44:08.190Z,1,17.0,6.0,4.1
2026-09-19T20:44:28.271Z,1,8.4,6.0,10.5
2026-09-19T20:44:48.304Z,1,7.6,6.0,12.1
2026-09-19T20:45:08.348Z,2,7.0,6.0,13.3
2026-09-19T20:45:28.397Z,1,8.5,6.0,11.6
2026-09-19T20:45:48.478Z,1,8.7,6.0,9.9
2026-09-19T20:46:08.578Z,2,6.5,6.0,14.3
2026-09-19T20:46:28.633Z,2,6.9,6.0,13.5
2026-09-19T20:46:48.722Z,2,6.4,6.0,14.4
2026-09-19T20:47:08.829Z,2,6.0,6.0,15.5
2026-09-19T20:47:28.933Z,2,7.2,6.0,12.9
2026-09-19T20:47:49.222Z,2,5.5,6.2,16.1
2026-09-19T20:48:09.314Z,2,5.5,6.2,16.1
2026-09-19T20:48:29.331Z,1,18.7,3.8,2.5
2026-09-19T20:48:49.443Z,1,7.4,3.8,12.3
2026-09-19T20:49:09.519Z,2,8.4,5.0,12.4
2026-09-19T20:49:29.570Z,1,6.9,5.0,13.5
2026-09-19T20:49:49.630Z,1,8.1,5.0,11.0
2026-09-19T20:50:09.683Z,2,7.4,4.9,12.6
2026-09-19T20:50:29.842Z,2,6.8,4.9,13.5
2026-09-19T20:50:49.934Z,2,6.4,5.1,14.6
2026-09-19T20:51:10.004Z,2,5.5,5.1,16.1
2026-09-19T20:51:30.069Z,2,6.9,5.3,13.4
2026-09-19T20:51:50.115Z,2,6.9,5.2,13.5
2026-09-19T20:52:10.221Z,2,6.1,5.2,15.1
2026-09-19T20:52:30.404Z,2,5.7,5.5,15.7
2026-09-19T20:52:50.482Z,1,9.1,5.5,9.1
2026-09-19T20:53:10.506Z,1,20.5,5.0,1.3
2026-09-19T20:53:30.525Z,1,20.1,5.0,1.2
2026-09-19T20:53:50.539Z,1,19.2,5.0,1.1
2026-09-19T20:54:10.558Z,1,19.9,5.0,1.1
2026-09-19T20:54:30.570Z,1,19.1,5.0,1.1
2026-09-19T20:54:50.590Z,1,19.7,5.0,1.1
2026-09-19T20:55:10.603Z,1,18.4,4.8,1.1
2026-09-19T20:55:30.621Z,1,19.2,4.8,1.1
2026-09-19T20:55:50.635Z,1,18.9,4.8,1.1
2026-09-19T20:56:10.648Z,1,18.3,4.8,1.1
2026-09-19T20:56:30.667Z,1,18.8,4.8,1.1
2026-09-19T20:56:50.688Z,1,18.6,4.7,1.0
2026-09-19T20:57:10.701Z,1,17.5,4.7,1.0
2026-09-19T20:57:30.716Z,1,17.9,4.7,1.0
2026-09-19T20:57:50.729Z,1,16.5,4.7,1.0
2026-09-19T20:58:10.748Z,1,17.5,4.7,1.0
2026-09-19T20:58:30.761Z,1,16.1,4.7,1.0
2026-09-19T20:58:50.781Z,1,17.5,4.7,1.0
2026-09-19T20:59:10.800Z,1,17.2,4.7,1.0
2026-09-19T20:59:30.814Z,1,16.5,4.7,1.0
2026-09-19T20:59:50.828Z,1,17.1,4.7,1.0
2026-09-19T21:00:10.841Z,1,16.4,4.7,1.0
2026-09-19T21:00:30.860Z,1,17.1,4.7,1.0
2026-09-19T21:00:50.878Z,1,17.1,4.7,1.0
2026-09-19T21:01:10.897Z,1,17.1,4.7,1.0
2026-09-19T21:01:30.914Z,1,17.0,4.6,0.9
2026-09-19T21:01:50.928Z,1,15.4,4.6,0.9
2026-09-19T21:02:10.950Z,1,17.0,4.6,0.9
2026-09-19T21:02:30.963Z,1,16.7,4.6,0.9
2026-09-19T21:02:50.975Z,1,16.3,4.6,0.9
2026-09-19T21:03:10.996Z,1,16.9,4.6,0.9
2026-09-19T21:03:31.016Z,1,16.7,4.6,0.9
2026-09-19T21:03:51.037Z,1,16.8,4.6,0.9
2026-09-19T21:04:11.057Z,1,16.8,4.6,0.9
2026-09-19T21:04:31.078Z,1,16.8,4.6,0.9
2026-09-19T21:04:51.092Z,1,16.6,4.6,0.9
2026-09-19T21:05:11.103Z,1,16.8,4.6,0.9
2026-09-19T21:05:31.116Z,1,16.8,4.6,0.9
2026-09-19T21:05:51.135Z,1,16.8,4.6,0.9
2026-09-19T21:06:11.156Z,1,16.8,4.6,0.9
2026-09-19T21:06:31.171Z,1,15.6,4.6,0.9
2026-09-19T21:06:51.191Z,1,16.7,4.6,0.9
2026-09-19T21:07:11.211Z,1,16.7,4.6,0.9
2026-09-19T21:07:31.229Z,1,16.7,4.6,0.9
2026-09-19T21:07:51.247Z,1,16.7,4.6,0.9
2026-09-19T21:08:11.265Z,1,16.7,4.6,0.9
2026-09-19T21:08:31.282Z,1,16.7,4.6,0.9
2026-09-19T21:08:51.294Z,1,16.3,4.6,0.9
2026-09-19T21:09:11.314Z,1,16.4,4.6,0.9
2026-09-19T21:09:31.336Z,1,16.5,4.6,0.9
2026-09-19T21:09:51.355Z,1,16.4,4.6,0.9
2026-09-19T21:10:11.376Z,1,16.4,4.6,0.9
2026-09-19T21:10:31.396Z,1,16.4,4.6,0.9
2026-09-19T21:10:51.415Z,1,16.4,4.6,0.9
2026-09-19T21:11:11.434Z,1,16.4,4.6,0.9
2026-09-19T21:11:31.448Z,1,15.2,4.6,0.9
2026-09-19T21:11:51.468Z,1,16.3,4.6,0.9
2026-09-19T21:12:11.485Z,1,16.3,4.6,0.9
2026-09-19T21:12:31.505Z,1,16.0,4.6,0.9
2026-09-19T21:12:51.526Z,1,15.9,4.6,0.9
2026-09-19T21:13:11.547Z,1,15.8,4.6,0.9
2026-09-19T21:13:31.566Z,1,15.9,4.6,0.9
2026-09-19T21:13:51.582Z,1,15.9,4.6,0.9
2026-09-19T21:14:11.604Z,1,15.9,4.6,0.9
2026-09-19T21:14:31.625Z,1,15.9,4.6,0.9
2026-09-19T21:14:51.643Z,1,15.9,4.6,0.9
2026-09-19T21:15:11.662Z,1,15.8,4.6,0.9
2026-09-19T21:15:31.680Z,1,15.9,4.6,0.9
2026-09-19T21:15:51.698Z,1,15.7,4.6,0.9
2026-09-19T21:16:11.711Z,1,14.9,4.6,0.9
2026-09-19T21:16:31.731Z,1,15.8,4.5,0.9
2026-09-19T21:16:51.750Z,1,15.7,4.5,0.9
2026-09-19T21:17:11.762Z,1,14.9,4.5,0.9
2026-09-19T21:17:31.784Z,1,15.7,4.5,0.9
2026-09-19T21:17:51.800Z,1,15.4,4.5,0.9
2026-09-19T21:18:11.820Z,1,15.7,4.5,0.9
2026-09-19T21:18:31.840Z,1,15.7,4.5,0.9
2026-09-19T21:18:51.861Z,1,15.7,4.5,0.9
2026-09-19T21:19:11.882Z,1,15.7,4.5,0.9
2026-09-19T21:19:31.904Z,1,15.7,4.5,0.9
2026-09-19T21:19:51.924Z,1,15.6,4.5,0.9
2026-09-19T21:20:11.944Z,1,15.5,4.5,0.8
2026-09-19T21:20:31.963Z,1,15.5,4.5,0.8
2026-09-19T21:20:51.976Z,1,14.7,4.5,0.8
2026-09-19T21:21:11.997Z,1,15.5,4.5,0.8
2026-09-19T21:21:32.012Z,1,15.4,4.5,0.8
2026-09-19T21:21:52.034Z,1,15.4,4.5,0.8
2026-09-19T21:22:12.055Z,1,14.9,4.5,0.8
2026-09-19T21:22:32.075Z,1,14.8,4.5,0.8
2026-09-19T21:22:52.095Z,1,14.8,4.5,0.8
2026-09-19T21:23:12.115Z,1,15.0,4.5,0.8
2026-09-19T21:23:32.136Z,1,15.0,4.5,0.8
2026-09-19T21:23:52.157Z,1,15.0,4.5,0.8
2026-09-19T21:24:12.173Z,1,15.0,4.5,0.8
2026-09-19T21:24:32.192Z,1,15.0,4.5,0.8
2026-09-19T21:24:52.204Z,1,14.0,4.5,0.8
2026-09-19T21:25:12.225Z,1,14.6,4.5,0.8
2026-09-19T21:25:32.246Z,1,14.5,4.5,0.8
2026-09-19T21:25:52.265Z,1,14.3,4.5,0.8
2026-09-19T21:26:12.286Z,1,14.3,4.5,0.8
2026-09-19T21:26:32.306Z,1,14.2,4.5,0.8
2026-09-19T21:26:52.325Z,1,14.1,4.5,0.8
2026-09-19T21:27:12.345Z,1,14.0,4.5,0.8
2026-09-19T21:27:32.365Z,1,14.2,4.5,0.8
2026-09-19T21:27:52.381Z,1,14.2,4.5,0.8
2026-09-19T21:28:12.401Z,1,14.2,4.5,0.8
2026-09-19T21:28:32.423Z,1,14.2,4.5,0.8
2026-09-19T21:28:52.441Z,1,14.2,4.5,0.8
2026-09-19T21:29:12.463Z,1,14.2,4.5,0.8
2026-09-19T21:29:32.482Z,1,14.2,4.5,0.8
2026-09-19T21:29:52.502Z,1,13.8,4.5,0.8
2026-09-19T21:30:12.523Z,1,13.8,4.5,0.8
2026-09-19T21:30:32.542Z,1,13.6,4.5,0.8
2026-09-19T21:30:52.562Z,1,13.7,4.5,0.8
2026-09-19T21:31:12.583Z,1,13.7,4.5,0.8
2026-09-19T21:31:32.605Z,1,13.8,4.5,0.8
2026-09-19T21:31:52.625Z,1,13.8,4.5,0.8
2026-09-19T21:32:12.646Z,1,13.8,4.5,0.8
2026-09-19T21:32:32.657Z,1,13.1,4.5,0.8
2026-09-19T21:32:52.670Z,1,13.7,4.5,0.8
2026-09-19T21:33:12.682Z,1,12.8,4.5,0.8
2026-09-19T21:33:32.704Z,1,13.7,4.5,0.8
2026-09-19T21:33:52.725Z,1,13.7,4.5,0.8
2026-09-19T21:34:12.737Z,1,12.5,4.5,0.8
2026-09-19T21:34:32.759Z,1,13.9,4.5,0.8
2026-09-19T21:34:52.780Z,1,13.9,4.5,0.8
2026-09-19T21:35:12.793Z,1,13.3,4.5,0.8
2026-09-19T21:35:32.814Z,1,14.0,4.5,0.8
2026-09-19T21:35:52.832Z,1,14.0,4.5,0.8
2026-09-19T21:36:12.852Z,1,14.0,4.5,0.8
2026-09-19T21:36:32.871Z,1,13.8,4.5,0.8
2026-09-19T21:36:52.942Z,1,6.8,4.5,12.7
2026-09-19T21:37:13.046Z,2,5.5,7.1,16.3
2026-09-19T21:37:33.090Z,2,5.6,7.6,16.0
2026-09-19T21:37:53.159Z,2,5.5,8.5,16.2
2026-09-19T21:38:13.209Z,2,5.5,8.9,16.2
2026-09-19T21:38:33.271Z,2,5.8,9.1,15.6
2026-09-19T21:38:53.318Z,2,5.6,9.2,15.9
2026-09-19T21:39:13.391Z,2,6.3,9.1,14.6
2026-09-19T21:39:33.449Z,2,6.1,9.1,15.0
2026-09-19T21:39:53.494Z,2,6.0,9.1,15.2
2026-09-19T21:40:13.571Z,2,5.7,9.1,15.9
2026-09-19T21:40:33.707Z,2,5.6,9.5,16.1
