iso,pressure,free_gb,swap_gb,compressed_gb
2026-09-18T12:45:51Z,1,20.7,3.3,0.9
2026-09-18T12:46:11Z,1,15.1,3.3,0.8
2026-09-18T12:46:31Z,1,7.0,3.3,13.5
2026-09-18T12:46:51Z,1,8.5,3.3,10.5
2026-09-18T12:47:11Z,1,9.3,3.3,10.9
2026-09-18T12:47:31Z,1,7.2,3.3,13.0
2026-09-18T12:47:51Z,2,7.5,3.3,12.4
2026-09-18T12:48:11Z,1,8.4,3.3,10.8
2026-09-18T12:48:31Z,1,7.4,3.3,12.6
2026-09-18T12:48:51Z,2,7.1,3.3,13.2
2026-09-18T12:49:12Z,2,7.2,3.3,13.1
2026-09-18T12:49:32Z,2,8.0,3.3,11.5
2026-09-18T12:49:52Z,2,5.9,3.3,15.6
2026-09-18T12:50:12Z,1,20.8,3.3,1.2
2026-09-18T12:50:32Z,1,18.9,3.3,0.8
2026-09-18T12:50:52Z,1,10.8,3.3,0.7
2026-09-18T12:51:12Z,2,6.4,3.3,14.5
2026-09-18T12:51:32Z,2,6.3,3.2,14.8
2026-09-18T12:51:53Z,1,9.3,3.2,9.1
2026-09-18T12:52:13Z,2,6.2,3.2,14.9
2026-09-18T12:52:33Z,1,7.9,3.2,11.7
2026-09-18T12:52:53Z,2,7.9,3.2,11.8
2026-09-18T12:53:13Z,1,7.0,3.2,13.4
2026-09-18T12:53:33Z,2,6.4,3.2,14.5
2026-09-18T12:53:53Z,2,6.1,3.2,15.2
2026-09-18T12:54:13Z,2,6.0,3.2,15.3
2026-09-18T12:54:34Z,2,5.7,3.5,16.0
2026-09-18T12:54:54Z,1,20.3,3.4,0.9
2026-09-18T12:55:14Z,1,10.8,3.4,0.8
2026-09-18T12:55:34Z,2,5.8,3.4,15.8
2026-09-18T12:55:54Z,1,7.0,3.7,13.4
2026-09-18T12:56:14Z,1,9.1,3.7,10.8
2026-09-18T12:56:34Z,1,7.0,3.7,13.4
2026-09-18T12:56:55Z,2,7.0,3.7,13.5
2026-09-18T12:57:15Z,2,6.7,3.7,13.9
2026-09-18T12:57:35Z,1,8.1,3.7,11.3
2026-09-18T12:57:55Z,1,7.2,3.7,13.0
2026-09-18T12:58:15Z,1,7.7,3.7,12.0
2026-09-18T12:58:35Z,2,6.7,3.7,13.9
2026-09-18T12:58:55Z,2,6.1,3.7,15.2
2026-09-18T12:59:15Z,1,20.8,3.7,0.9
2026-09-18T12:59:35Z,1,19.4,3.7,0.6
2026-09-18T12:59:55Z,1,16.6,3.7,0.6
2026-09-18T13:00:15Z,1,7.6,3.7,12.3
2026-09-18T13:00:35Z,1,9.5,3.6,9.4
2026-09-18T13:00:55Z,2,8.1,3.6,11.5
2026-09-18T13:01:15Z,2,7.8,3.6,12.0
2026-09-18T13:01:36Z,2,7.2,3.6,13.2
2026-09-18T13:01:56Z,1,9.7,3.6,8.3
2026-09-18T13:02:16Z,2,6.9,3.6,13.6
2026-09-18T13:02:36Z,2,6.0,3.6,15.4
2026-09-18T13:02:56Z,2,7.4,3.6,12.7
2026-09-18T13:03:16Z,2,7.0,3.6,13.6
2026-09-18T13:03:36Z,2,6.9,3.6,13.5
2026-09-18T13:03:56Z,1,21.6,3.6,1.7
2026-09-18T13:04:17Z,1,19.8,3.6,0.6
2026-09-18T13:04:37Z,1,18.2,3.6,0.5
2026-09-18T13:04:57Z,1,11.1,3.6,5.2
2026-09-18T13:05:17Z,2,8.0,3.8,14.3
2026-09-18T13:05:37Z,1,7.3,3.8,12.9
2026-09-18T13:05:57Z,1,7.7,3.8,12.0
2026-09-18T13:06:17Z,2,7.6,3.8,12.4
2026-09-18T13:06:37Z,2,7.6,3.8,12.3
2026-09-18T13:06:57Z,1,8.5,3.8,10.5
2026-09-18T13:07:17Z,1,7.0,3.8,13.4
2026-09-18T13:07:37Z,2,6.6,3.8,14.3
2026-09-18T13:07:57Z,2,6.7,3.8,14.2
2026-09-18T13:08:18Z,2,8.0,3.8,11.6
2026-09-18T13:08:38Z,1,20.8,3.8,5.8
2026-09-18T13:08:58Z,1,15.5,3.8,5.5
2026-09-18T13:09:18Z,1,7.4,3.8,12.7
2026-09-18T13:09:38Z,2,6.6,3.8,14.1
2026-09-18T13:09:58Z,2,9.3,3.7,11.7
2026-09-18T13:10:18Z,2,6.0,3.7,15.3
2026-09-18T13:10:38Z,1,9.8,3.7,8.9
2026-09-18T13:10:58Z,1,8.1,3.7,11.3
2026-09-18T13:11:18Z,2,7.7,3.7,12.2
2026-09-18T13:11:38Z,2,5.7,3.7,16.0
2026-09-18T13:11:59Z,2,5.5,3.9,16.3
2026-09-18T13:12:19Z,2,5.8,4.1,15.8
2026-09-18T13:12:39Z,2,5.5,4.6,16.2
2026-09-18T13:12:59Z,2,5.5,4.6,16.4
2026-09-18T13:13:19Z,1,21.2,3.1,0.7
2026-09-18T13:13:39Z,1,17.4,3.0,0.4
2026-09-18T13:14:00Z,2,6.7,3.0,13.9
2026-09-18T13:14:20Z,1,10.6,3.9,8.9
2026-09-18T13:14:40Z,1,9.0,3.8,9.8
2026-09-18T13:15:00Z,1,7.7,3.8,11.9
2026-09-18T13:15:20Z,2,8.1,3.8,11.5
2026-09-18T13:15:40Z,1,7.9,3.7,11.7
2026-09-18T13:16:00Z,2,6.9,3.7,13.7
2026-09-18T13:16:20Z,1,8.4,3.7,10.7
2026-09-18T13:16:41Z,1,7.9,3.7,11.7
2026-09-18T13:17:01Z,1,7.2,3.7,13.1
2026-09-18T13:17:21Z,2,8.2,3.7,11.2
2026-09-18T13:17:41Z,1,20.2,3.1,0.8
2026-09-18T13:18:01Z,1,20.3,3.1,0.6
2026-09-18T13:18:21Z,1,20.2,3.0,0.5
2026-09-18T13:18:41Z,1,14.7,3.0,0.5
2026-09-18T13:19:01Z,2,6.7,3.0,14.0
2026-09-18T13:19:21Z,1,8.3,3.0,10.9
2026-09-18T13:19:41Z,2,7.5,3.0,12.5
2026-09-18T13:20:01Z,2,7.1,3.0,13.3
2026-09-18T13:20:22Z,2,6.9,3.0,13.8
2026-09-18T13:20:42Z,2,6.1,3.0,15.2
2026-09-18T13:21:02Z,2,6.0,3.2,15.3
2026-09-18T13:21:22Z,2,6.5,3.2,14.4
2026-09-18T13:21:42Z,2,5.5,3.2,16.4
2026-09-18T13:22:02Z,2,5.8,3.2,15.7
2026-09-18T13:22:22Z,2,6.2,3.3,15.1
2026-09-18T13:22:43Z,2,5.7,3.4,16.1
2026-09-18T13:23:03Z,1,20.0,3.3,0.6
2026-09-18T13:23:23Z,1,20.0,3.3,0.6
2026-09-18T13:23:43Z,1,18.6,3.3,0.5
2026-09-18T13:24:03Z,1,10.7,3.2,6.2
2026-09-18T13:24:23Z,2,5.5,3.6,16.3
2026-09-18T13:24:43Z,2,5.5,3.8,16.3
2026-09-18T13:25:03Z,2,7.6,3.7,12.3
2026-09-18T13:25:23Z,2,8.3,4.1,11.8
2026-09-18T13:25:44Z,1,7.7,4.0,12.1
2026-09-18T13:26:04Z,2,7.5,4.0,12.4
2026-09-18T13:26:24Z,1,7.6,4.0,12.3
2026-09-18T13:26:44Z,1,7.8,4.0,11.8
2026-09-18T13:27:04Z,2,6.9,4.0,13.6
2026-09-18T13:27:24Z,2,6.2,3.9,15.0
2026-09-18T13:27:44Z,2,5.6,4.1,16.2
2026-09-18T13:28:04Z,1,19.7,3.4,0.6
2026-09-18T13:28:24Z,1,10.7,3.4,0.6
2026-09-18T13:28:45Z,2,5.9,3.4,15.5
2026-09-18T13:29:05Z,1,7.4,3.6,12.6
2026-09-18T13:29:25Z,2,7.1,3.6,13.2
2026-09-18T13:29:45Z,2,6.2,3.6,15.0
2026-09-18T13:30:05Z,2,6.2,3.6,15.0
2026-09-18T13:30:25Z,1,7.4,3.6,12.6
2026-09-18T13:30:45Z,2,6.5,3.6,14.4
2026-09-18T13:31:05Z,2,6.6,3.5,14.2
2026-09-18T13:31:25Z,2,6.1,3.5,15.3
2026-09-18T13:31:45Z,2,6.1,3.5,15.1
2026-09-18T13:32:05Z,2,5.5,4.1,16.4
2026-09-18T13:32:26Z,1,21.5,3.9,1.8
2026-09-18T13:32:46Z,1,19.5,3.7,0.3
2026-09-18T13:33:06Z,1,19.4,3.7,0.3
2026-09-18T13:33:26Z,1,18.6,3.7,0.3
2026-09-18T13:33:46Z,1,10.3,3.7,0.3
2026-09-18T13:34:06Z,2,6.2,3.7,14.8
2026-09-18T13:34:26Z,1,8.6,3.7,10.8
2026-09-18T13:34:46Z,1,8.4,3.7,10.8
2026-09-18T13:35:06Z,2,6.3,3.7,14.8
2026-09-18T13:35:27Z,2,8.8,3.7,11.1
2026-09-18T13:35:47Z,2,7.2,3.7,13.1
2026-09-18T13:36:07Z,2,7.0,3.7,13.4
2026-09-18T13:36:27Z,2,5.7,3.7,16.1
